Date,Open,High,Low,Close,Adj Close,Volume
2019-03-22,85.199997,85.900002,82.150002,82.190002,78.022408,21659800
2019-03-25,81.480003,83.220001,80.889999,82.330002,78.155273,15558300
2019-03-26,83.629997,84.089996,82.910004,83.379997,79.152046,9611900
2019-03-27,83.690002,83.800003,82.040001,83.089996,78.876747,6485100
2019-03-28,83.930000,84.720001,83.699997,84.040001,79.778595,6032700
2019-03-29,84.599998,84.849998,83.860001,84.209999,79.939957,6492000
2019-04-01,85.040001,85.320000,84.699997,85.230003,80.908257,6737400
2019-04-02,85.000000,85.260002,84.160004,84.370003,80.091850,4433800
2019-04-03,84.900002,84.989998,84.250000,84.470001,80.186790,4080900
2019-04-04,84.489998,85.379997,84.360001,85.279999,80.955704,3660700
2019-04-05,86.000000,86.160004,85.050003,85.400002,81.069618,7367400
2019-04-08,85.010002,85.290001,84.570000,84.730003,80.433586,4705800
2019-04-09,84.220001,84.599998,83.970001,84.279999,80.006416,3804500
2019-04-10,84.639999,85.010002,84.559998,84.879997,80.575996,3918400
2019-04-11,84.900002,85.050003,84.279999,85.000000,80.689926,3347400
2019-04-12,85.300003,86.489998,85.290001,86.239998,81.867027,6037000
2019-04-15,86.889999,87.239998,86.440002,86.830002,82.427116,5034900
2019-04-16,87.000000,87.949997,87.000000,87.800003,83.347939,4652700
2019-04-17,87.949997,88.970001,87.449997,88.730003,84.230774,5694900
2019-04-18,88.760002,90.000000,88.699997,89.199997,84.676918,7016600
2019-04-22,88.349998,88.639999,87.300003,87.360001,82.930214,5390500
2019-04-23,87.570000,87.669998,87.010002,87.430000,82.996681,7513700
2019-04-24,87.669998,88.820000,87.430000,88.389999,83.908005,8063000
2019-04-25,88.400002,88.540001,87.489998,87.559998,83.120094,7069900
2019-04-26,87.949997,88.940002,87.330002,88.309998,83.832062,6219600
2019-04-29,88.180000,88.510002,88.129997,88.260002,83.784592,5008400
2019-04-30,88.290001,88.400002,87.260002,87.830002,83.376411,7614100
2019-05-01,87.730003,87.949997,85.870003,85.900002,81.544273,6524600
2019-05-02,86.209999,86.279999,84.989998,85.269997,80.946213,6813700
2019-05-03,85.900002,86.300003,85.699997,85.699997,81.354408,6798300
2019-05-06,83.769997,83.870003,82.860001,83.570000,79.332428,12836600
2019-05-07,83.019997,83.629997,81.830002,82.540001,78.354652,9811300
2019-05-08,82.430000,83.989998,82.139999,82.769997,78.572975,9501300
2019-05-09,82.209999,83.010002,81.540001,82.980003,78.772324,6336600
2019-05-10,82.779999,84.269997,82.190002,83.949997,79.693146,5450500
2019-05-13,81.650002,82.629997,81.320000,82.529999,78.345161,6445200
2019-05-14,82.779999,84.000000,82.059998,83.669998,79.427338,7529200
2019-05-15,83.169998,84.489998,82.940002,84.010002,79.750092,4862200
